food_name,food_category,shelf_life_unopened_days,shelf_life_opened_days,ideal_storage_temp,temp_coefficient,preservatives_level,packaging_type,ph_level
Kopi Instan,minuman,693.0,27.0,25.2,0.031,3,plastik,4.71
  Yoghurt Plain  ,produk susu,19.0,3.0,4.2,0.144,2,unknown,3.78
Kecap Manis,saus,345.0,64.0,24.5,0.095,4,botol kaca,4.62
Selai Kacang,saus,394.0,93.0,24.8,0.081,4,botol kaca,5.9
Yoghurt Plain,produk susu,19.0,3.0,4.2,0.154,2,plastik,3.74
Selai Coklat,saus,381.0,64.0,25.1,0.072,4,botol kaca,6.13
Minuman Energi,minuman,352.0,0.0,25.4,0.078,4,kaleng,5.675
Kornet Sapi,kaleng,1036.0,2.0,24.8,0.053,5,kaleng,5.92
Yoghurt Plain,produk susu,22.0,3.0,4.1,0.143,2,plastik,4.26
Jus Jeruk,minuman,191.0,5.0,4.2,0.114,2,karton,3.62
Mayones,saus,265.0,14.0,9.7,0.109,4,plastik,4.28
Kecap Manis,saus,345.0,51.0,25.4,0.091,4,botol kaca,4.75
Sarden Tomat,kaleng,778.0,2.0,24.7,0.051,5,kaleng,5.83
Susu UHT Full Cream,produk susu,291.0,7.0,4.3,0.122,3,karton,6.59
Minuman Energi,unknown,401.0,1.0,24.8,0.061,4,kaleng,3.65
Selai Kacang,saus,358.0,79.0,25.0,0.078,4,botol kaca,6.47
Yoghurt Plain,produk susu,20.0,4.0,4.0,0.147,2,unknown,4.3
Kornet Sapi,kaleng,1105.0,3.0,25.0,0.042,5,kaleng,5.87
Kecap Asin,saus,360.0,90.0,24.7,0.087,4,unknown,4.67
  Tomat Kaleng  ,unknown,-10.0,5.0,25.0,0.058,4,kaleng,4.57
Mentega Unsalted,produk susu,87.0,26.0,3.6,0.087,3,karton,6.96
Biskuit Coklat,camilan,190.0,7.0,25.3,0.078,3,plastik,6.25
Mayones,saus,273.0,13.0,9.6,0.113,4,plastik,3.72
Kecap Asin,saus,387.0,86.0,25.2,0.079,4,botol kaca,5.09
Minuman Energi,minuman,386.0,1.0,24.6,0.072,4,kaleng,3.69
Keju Cheddar,produk susu,169.0,13.0,3.8,0.079,4,plastik,5.53
Biskuit Coklat,camilan,193.0,7.0,24.8,0.06,3,unknown,5.675
  Biskuit Coklat  ,camilan,370.0,6.0,24.8,0.067,3,plastik,6.68
Saus Sambal,saus,370.0,28.0,24.8,0.098,4,botol kaca,3.64
  Mie Instan  ,unknown,377.0,2.0,24.8,0.064,4,plastik,5.87
Tomat Kaleng,unknown,763.0,4.0,25.1,0.06,7,kaleng,4.23
Yoghurt Strawberry,produk susu,31.0,3.0,4.3,0.144,2,plastik,4.23
Teh Celup,minuman,789.0,66.0,24.6,0.038,2,karton,5.675
Mentega Unsalted,produk susu,90.0,27.0,4.5,0.077,3,karton,6.62
Ikan Tuna Kaleng,kaleng,1051.0,4.0,24.9,0.056,5,kaleng,6.07
Teh Celup,minuman,744.0,58.0,25.2,0.037,2,karton,5.23
Minuman Isotonik,minuman,388.0,0.0,25.5,0.063,3,plastik,5.675
Yoghurt Plain,produk susu,21.0,3.0,4.1,0.156,2,plastik,3.7
Yoghurt Strawberry,unknown,27.0,3.0,24.8,0.158,10,plastik,4.42
Teh Botol,minuman,372.0,0.0,25.5,0.086,3,botol kaca,5.41
Kornet Sapi,kaleng,1147.0,3.0,25.1,0.052,5,kaleng,6.04
Kecap Asin,saus,401.0,85.0,25.2,0.079,4,botol kaca,4.89
Susu Kedelai,minuman,265.0,3.0,3.7,0.124,2,karton,6.8
Mayones,saus,258.0,12.0,24.8,0.119,4,plastik,5.675
Saus Sambal,saus,334.0,27.0,25.1,0.104,4,botol kaca,3.54
Saus Tomat,saus,371.0,30.0,25.4,0.093,4,botol kaca,5.675
Mayones,saus,254.0,16.0,10.0,0.102,4,plastik,3.73
Susu UHT Full Cream,produk susu,296.0,6.0,4.5,0.123,3,karton,6.66
Yoghurt Plain,produk susu,20.0,4.0,4.1,0.154,2,plastik,4.13
Air Mineral,minuman,751.0,1.0,25.3,0.021,1,plastik,6.8
Susu Kedelai,minuman,284.0,3.0,4.3,0.121,2,karton,6.5
Kecap Manis,saus,370.0,55.0,25.2,0.08,4,unknown,4.76
