food_name,food_category,packaging_type,storage_location,is_opened,days_to_expire,days_since_opened,sisa_hari,label
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,0,5.0,0.0,5.0,Soon
Biskuit Marie,Produk Kering,Plastik,Outside,0,31.0,0.0,31.0,Fresh
Nugget Udang,Produk Protein,Plastik,Unknown,0,101.0,0.0,101.0,Fresh
Sarden Cabai,Produk Kaleng,Kaleng,Outside,0,423.0,0.0,250.0,Fresh
Biskuit Crackers,Produk Kering,Plastik,Outside,0,138.0,0.0,138.0,Fresh
Susu Uht Stroberi,Produk Olahan Susu,Karton,Chiller,1,85.0,4.0,-3.0,Expired
Sosis Frankfurter,Produk Protein,Plastik,Chiller,0,42.0,0.0,42.0,Fresh
Sarden Cabai,Produk Kaleng,Kaleng,Outside,1,398.0,7.0,-5.0,Expired
Biskuit Mentega,Produk Kering,Kaleng,Outside,0,35.0,0.0,35.0,Fresh
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Outside,1,500.0,12.0,6.0,Soon
Biskuit Wafer,Produk Kering,Plastik,Outside,1,36.0,7.0,-2.0,Expired
Teh Lemon,Produk Minuman,Karton,Outside,0,144.0,0.0,144.0,Fresh
Biskuit Mentega,Produk Kering,Kaleng,Outside,1,-5.0,10.0,4.0,Soon
Nugget Ayam,Produk Protein,Plastik,Freezer,1,95.0,1.0,2.0,Soon
Soda Jeruk,Produk Minuman,Kaleng,Outside,0,26.0,0.0,26.0,Fresh
Sereal Cornflakes,Produk Kering,Karton,Outside,0,340.0,0.0,250.0,Fresh
Nugget Ayam,Unknown,Plastik,Freezer,1,159.0,4.0,-1.0,Expired
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Outside,0,341.0,0.0,250.0,Fresh
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Chiller,1,500.0,5.0,9.0,Fresh
Biskuit Wafer,Produk Kering,Plastik,Unknown,0,162.0,0.0,162.0,Fresh
Biskuit Crackers,Produk Kering,Plastik,Outside,0,28.0,0.0,28.0,Fresh
