nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label
Mangga,Buah,Pembeku,0,33,Matang
Timun,Sayur,Suhu Ruang,2,1,Busuk
Tomat,Sayur,Pendingin,0,2,Busuk
Apel,Buah,Suhu Ruang,4,16,Mentah
Tomat,Sayur,Suhu Ruang,1,0,Busuk
Mangga,Buah,Pendingin,0,3,Terlalu Matang
Anggur,Buah,Pembeku,2,37,Mentah
Cabe,Sayur,Pembeku,1,7,Busuk
Mangga,Buah,Pembeku,3,14,Terlalu Matang
Pisang,Buah,Suhu Ruang,0,0,Busuk
Kentang,Sayur,Pendingin,1,2,Busuk
Kentang,Sayur,Pendingin,2,3,Busuk
Wortel,Sayur,Pendingin,2,30,Segar
Jeruk,Buah,Suhu Ruang,1,0,Busuk
Wortel,Sayur,Suhu Ruang,0,2,Busuk
Timun,Sayur,Suhu Ruang,4,12,Segar
Mangga,Buah,Pendingin,2,15,Matang
Apel,Buah,Suhu Ruang,0,3,Terlalu Matang
Jeruk,Buah,Pendingin,1,10,Terlalu Matang
Pisang,Buah,Pembeku,0,2,Busuk
Pisang,Buah,Pembeku,1,1,Busuk
Anggur,Buah,Suhu Ruang,4,8,Mentah
Jeruk,Buah,Suhu Ruang,1,14,Mentah
Wortel,Sayur,Pembeku,2,8,Busuk
Jeruk,Buah,Pembeku,1,14,Terlalu Matang
Cabe,Sayur,Suhu Ruang,6,11,Segar
Wortel,Sayur,Pendingin,1,1,Busuk
Jeruk,Buah,Pembeku,4,31,Matang
Tomat,Sayur,Pendingin,6,11,Segar
Tomat,Sayur,Pendingin,0,1,Busuk
Wortel,Sayur,Pembeku,0,4,Busuk
Jeruk,Buah,Pembeku,2,13,Terlalu Matang
Apel,Buah,Pendingin,0,0,Busuk
Jeruk,Buah,Pembeku,0,17,Terlalu Matang
Cabe,Sayur,Pembeku,2,7,Busuk
Pisang,Buah,Pendingin,0,16,Mentah
Kentang,Sayur,Suhu Ruang,3,8,Segar
Cabe,Sayur,Suhu Ruang,2,5,Segar
Apel,Buah,Suhu Ruang,1,16,Mentah
Timun,Sayur,Pendingin,4,9,Segar
Cabe,Sayur,Suhu Ruang,0,11,Segar
Anggur,Buah,Pendingin,0,1,Busuk
Apel,Buah,Suhu Ruang,0,11,Matang
Wortel,Sayur,Suhu Ruang,1,1,Busuk
Jeruk,Buah,Pendingin,4,19,Matang
Tomat,Sayur,Pembeku,0,4,Busuk
Timun,Sayur,Suhu Ruang,1,1,Busuk
Timun,Sayur,Pendingin,2,2,Busuk
Cabe,Sayur,Pembeku,1,0,Busuk
Jeruk,Buah,Pembeku,1,29,Matang
Timun,Sayur,Pembeku,2,34,Segar
Apel,Buah,Suhu Ruang,2,11,Mentah
Apel,Buah,Pembeku,3,15,Terlalu Matang
Jeruk,Buah,Pendingin,0,1,Busuk
Wortel,Sayur,Suhu Ruang,0,19,Segar
Timun,Sayur,Suhu Ruang,5,9,Segar
Wortel,Sayur,Pembeku,4,38,Segar
Timun,Sayur,Pembeku,0,0,Busuk
Timun,Sayur,Suhu Ruang,1,1,Busuk
Jeruk,Buah,Pendingin,0,2,Busuk
Apel,Buah,Suhu Ruang,1,0,Busuk
Jeruk,Buah,Pembeku,1,16,Terlalu Matang
Cabe,Sayur,Pembeku,6,24,Segar
Anggur,Buah,Suhu Ruang,0,2,Terlalu Matang
Cabe,Sayur,Suhu Ruang,1,13,Segar
Tomat,Sayur,Suhu Ruang,6,4,Segar
Anggur,Buah,Suhu Ruang,2,3,Terlalu Matang
Anggur,Buah,Pembeku,3,14,Terlalu Matang
Apel,Buah,Pendingin,5,17,Mentah
