nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label,cara_simpan
Jahe,Sayuran Akar,Pembeku,14,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Jahe tetap awet.
Jahe,Sayuran Akar,Pembeku,60,-12,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Jahe tetap awet.
Seledri,Sayuran Akar,Suhu Ruang,60,2,Segera,Simpan Seledri di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Pisang,Buah Tropis,Pembeku,23,7,Segar,Simpan Pisang dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Cabai Merah,Cabai & Paprika,Pembeku,1,4,Segar,Simpan Cabai Merah dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Tomat,Buah Tropis,Pendingin,4,10,Segar,Bungkus Tomat dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Bawang Putih,Sayuran Akar,Pendingin,25,37,Segar,Bungkus Bawang Putih dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Sawi,Sayuran Hijau,Pendingin,2,3,Segera,Bungkus Sawi dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Stroberi,Buah Beri,Pembeku,10,20,Segar,Pastikan Stroberi sudah bersih dan kering sebelum dibekukan di freezer.
Melon,Buah Tropis,Pembeku,5,0,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Melon tetap awet.
Semangka,Buah Tropis,Pendingin,13,-3,Kadaluwarsa,Bungkus Semangka dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
BlueBuah Beri,Buah Beri,Pendingin,9,-2,Kadaluwarsa,Bungkus BlueBuah Beri dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Jahe,Sayuran Akar,Suhu Ruang,60,10,Segar,Simpan Jahe di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Singkong,Sayuran Akar,Pendingin,6,1,Segera,Gunakan wadah tertutup saat menyimpan Singkong di rak kulkas.
Pisang,Buah Tropis,Pendingin,6,-1,Kadaluwarsa,Gunakan wadah tertutup saat menyimpan Pisang di rak kulkas.
Cabai Merah,Cabai & Paprika,Pendingin,6,8,Segar,Simpan Cabai Merah di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Bayam,Sayuran Hijau,Pendingin,3,2,Segera,Bungkus Bayam dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Pisang,Buah Tropis,Suhu Ruang,3,0,Kadaluwarsa,Letakkan Pisang di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Pakcoy,Sayuran Hijau,Suhu Ruang,1,0,Kadaluwarsa,Pastikan Pakcoy berada di area kering agar tidak cepat lembap dan busuk.
Seledri,Sayuran Hijau,Pembeku,27,-6,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Seledri tetap awet.
Bawang Putih,Sayuran Akar,Suhu Ruang,20,25,Segar,Simpan Bawang Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Pepaya,Buah Tropis,Suhu Ruang,3,1,Segera,Letakkan Pepaya di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Nanas,Buah Tropis,Pendingin,3,4,Segar,Simpan Nanas di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Jeruk Nipis,Buah Sitrus,Pendingin,8,6,Segar,Simpan Jeruk Nipis di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Ubi Jalar,Sayuran Akar,Suhu Ruang,6,8,Segar,Simpan Ubi Jalar di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Jeruk Bali,Buah Sitrus,Pendingin,15,15,Segar,Bungkus Jeruk Bali dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kangkung,Sayuran Hijau,Pendingin,3,1,Segera,Bungkus Kangkung dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Singkong,Sayuran Akar,Pendingin,3,4,Segar,Simpan Singkong di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kiwi,Buah Iklim Sedang,Pendingin,14,0,Kadaluwarsa,Simpan Kiwi di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kunyit,Sayuran Akar,Pendingin,19,11,Segar,Simpan Kunyit di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Pisang,Buah Tropis,Pembeku,60,19,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Pisang tetap awet.
Kunyit,Sayuran Akar,Pembeku,15,37,Segar,Pastikan Kunyit sudah bersih dan kering sebelum dibekukan di freezer.
Cabai Merah,Sayuran Akar,Suhu Ruang,4,1,Segera,Simpan Cabai Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Jeruk,Buah Sitrus,Pembeku,15,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Jeruk tetap awet.
Nanas,Buah Tropis,Pembeku,8,22,Segar,Pastikan Nanas sudah bersih dan kering sebelum dibekukan di freezer.
Paprika,Cabai & Paprika,Pendingin,9,5,Segar,Bungkus Paprika dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Selada,Sayuran Hijau,Pendingin,0,7,Segar,Bungkus Selada dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Pear,Buah Iklim Sedang,Pembeku,60,-15,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Pear tetap awet.
Bawang Putih,Sayuran Akar,Pendingin,60,-1,Kadaluwarsa,Gunakan wadah tertutup saat menyimpan Bawang Putih di rak kulkas.
Bawang Merah,Sayuran Akar,Pembeku,60,17,Segar,Pastikan Bawang Merah sudah bersih dan kering sebelum dibekukan di freezer.
Kentang,Sayuran Akar,Suhu Ruang,1,13,Segar,Simpan Kentang di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Apel,Buah Iklim Sedang,Pembeku,5,30,Segar,Simpan Apel dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
RaspBuah Beri,Buah Beri,Pendingin,1,4,Segar,Gunakan wadah tertutup saat menyimpan RaspBuah Beri di rak kulkas.
Wortel,Sayuran Akar,Pembeku,47,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Wortel tetap awet.
Selada,Sayuran Hijau,Suhu Ruang,0,2,Segera,Pastikan Selada berada di area kering agar tidak cepat lembap dan busuk.
Singkong,Sayuran Akar,Pembeku,1,29,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Singkong tetap awet.
Lemon,Buah Sitrus,Pembeku,60,-7,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Lemon tetap awet.
Anggur,Buah Iklim Sedang,Pendingin,9,-2,Kadaluwarsa,Simpan Anggur di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Apel,Buah Iklim Sedang,Pembeku,15,6,Segar,Simpan Apel dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Nipis,Buah Sitrus,Pendingin,12,2,Segera,Gunakan wadah tertutup saat menyimpan Jeruk Nipis di rak kulkas.
Bayam,Sayuran Akar,Suhu Ruang,0,1,Segera,Simpan Bayam di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Cabai Rawit,Cabai & Paprika,Pendingin,7,3,Segera,Gunakan wadah tertutup saat menyimpan Cabai Rawit di rak kulkas.
Tomat,Buah Tropis,Pembeku,47,13,Segar,Pastikan Tomat sudah bersih dan kering sebelum dibekukan di freezer.
Pepaya,Buah Tropis,Pendingin,7,0,Kadaluwarsa,Gunakan wadah tertutup saat menyimpan Pepaya di rak kulkas.
Lemon,Buah Sitrus,Suhu Ruang,2,5,Segar,Letakkan Lemon di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Paprika,Sayuran Akar,Suhu Ruang,2,3,Segera,Simpan Paprika di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Nanas,Buah Tropis,Suhu Ruang,3,37,Segera,Pastikan Nanas berada di area kering agar tidak cepat lembap dan busuk.
Pakcoy,Sayuran Hijau,Pembeku,27,-6,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Pakcoy tetap awet.
Tomat,Buah Tropis,Pembeku,5,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Tomat tetap awet.
Bawang Putih,Sayuran Akar,Suhu Ruang,14,31,Segar,Simpan Bawang Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Jeruk Nipis,Buah Sitrus,Suhu Ruang,6,1,Segera,Simpan Jeruk Nipis di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Brokoli,Sayuran Hijau,Pendingin,5,5,Segar,Bungkus Brokoli dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Brokoli,Sayuran Hijau,Pendingin,7,3,Segera,Bungkus Brokoli dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Selada,Sayuran Hijau,Suhu Ruang,1,1,Segera,Letakkan Selada di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Mangga,Buah Tropis,Suhu Ruang,1,4,Segar,Simpan Mangga di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Jeruk Bali,Buah Sitrus,Suhu Ruang,13,1,Segera,Pastikan Jeruk Bali berada di area kering agar tidak cepat lembap dan busuk.
BlueBuah Beri,Buah Beri,Pembeku,0,7,Segar,Pastikan BlueBuah Beri sudah bersih dan kering sebelum dibekukan di freezer.
Stroberi,Buah Beri,Suhu Ruang,1,1,Segera,Letakkan Stroberi di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Sawi,Sayuran Hijau,Pembeku,6,24,Segar,Simpan Sawi dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Apel,Buah Iklim Sedang,Pendingin,4,17,Segar,Simpan Apel di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kentang,Sayuran Akar,Suhu Ruang,9,5,Segar,Simpan Kentang di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Brokoli,Sayuran Hijau,Suhu Ruang,0,2,Segera,Letakkan Brokoli di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Anggur,Buah Iklim Sedang,Suhu Ruang,1,2,Segera,Pastikan Anggur berada di area kering agar tidak cepat lembap dan busuk.
Pepaya,Buah Tropis,Pendingin,0,7,Segar,Bungkus Pepaya dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Cabai Merah,Cabai & Paprika,Pendingin,9,5,Segar,Simpan Cabai Merah di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Tomat,Buah Tropis,Pembeku,29,31,Segar,Pastikan Tomat sudah bersih dan kering sebelum dibekukan di freezer.
Selada,Sayuran Hijau,Pembeku,20,10,Segar,Pastikan Selada sudah bersih dan kering sebelum dibekukan di freezer.
Mangga,Buah Tropis,Pembeku,18,12,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Mangga tetap awet.
Pakcoy,Sayuran Hijau,Pendingin,4,1,Segera,Bungkus Pakcoy dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
