item_name,item_type,freshness_score_visual,standard_shelf_life_fridge,standard_shelf_life_room,water_content_pct,ethylene_producer,respiration_rate,sensitivity_to_chilling
Stroberi,Berry,0.58,5.0,1.0,89.5,False,tinggi,False
Sawi Hijau,Leafy Vegetable,0.82,5.0,0.0,86.36294964028778,False,tinggi,False
Lemon,Unknown,0.86,20.0,6.0,89.4,False,rendah,False
Pisang,Tropical Fruit,0.64,4.0,2.0,86.36294964028778,True,tinggi,True
Sawi Hijau,Leafy Vegetable,0.81,5.0,1.0,91.2,False,tinggi,False
Pepaya,Tropical Fruit,0.69,4.0,2.0,88.0,True,tinggi,True
Anggur,Temperate Fruit,0.73,6.0,3.0,82.1,True,tinggi,False
Bawang Putih,Root Veg,0.89,92.0,44.0,63.5,False,rendah,False
Sawi Hijau,Leafy Vegetable,0.81,4.0,1.0,92.8,False,tinggi,False
Melon,Tropical Fruit,0.74,7.0,2.0,90.2,True,sedang,True
Mangga,Tropical Fruit,0.7,6.0,3.0,82.7,True,tinggi,True
Lemon,citrus,1.8781454545454546,19.0,6.0,88.9,False,rendah,False
 Kentang ,Root Vegetable,0.89,29.0,14.0,79.6,False,rendah,False
Bayam,Leafy Vegetable,0.89,4.0,1.0,92.1,False,tinggi,False
Anggur,Temperate Fruit,0.73,7.0,2.0,81.1,True,rendah,False
Pisang,Tropical Fruit,0.65,4.0,1.0,86.36294964028778,True,tinggi,True
Sawi Hijau,Leafy Vegetable,0.82,4.0,1.0,90.7,False,tinggi,False
Bawang Putih,Unknown,2.0,87.0,44.0,63.3,False,rendah,False
Jeruk Nipis,Citric Fruit,0.91,15.0,6.9106529209622,86.4,False,rendah,False
Jeruk,Citric Fruit,0.9,19.0,6.0,85.8,False,rendah,False
Kol,Leafy Vegetable,99.0,13.0,5.0,90.6,False,sedang,False
Cabai Hijau,Chili,0.74,14.0,4.0,88.4,False,rendah,True
Mangga,Tropical Fruit,0.76,7.0,4.0,81.4,True,tinggi,True
Jeruk Nipis,Citric Fruit,0.87,13.0,4.0,87.6,False,rendah,False
