item_name,item_type,storage_location,days_since_purchase,sisa_hari,label
Jahe,Root Vegetable,Freezer,14.0,37.0,Fresh
Jahe,Root Vegetable,Freezer,60.0,-12.0,Expired
Seledri,Root Vegetable,Outside,60.0,2.0,Soon
Pisang,Tropical Fruit,Freezer,23.0,7.0,Fresh
Cabai Merah,Chili Pepper,Freezer,1.0,4.0,Fresh
Tomat,Tropical Fruit,Chiller,4.0,10.0,Fresh
Bawang Putih,Root Vegetable,Chiller,25.0,37.0,Fresh
Sawi,Leafy Vegetable,Chiller,2.0,3.0,Soon
Stroberi,Berry,Freezer,10.0,20.0,Fresh
Melon,Tropical Fruit,Freezer,5.0,0.0,Expired
Semangka,Tropical Fruit,Chiller,13.0,-3.0,Expired
Blueberry,Berry,Chiller,9.0,-2.0,Expired
Jahe,Root Vegetable,Outside,60.0,10.0,Fresh
Singkong,Root Vegetable,Chiller,6.0,1.0,Soon
Pisang,Tropical Fruit,Chiller,6.0,-1.0,Expired
Cabai Merah,Chili Pepper,Chiller,6.0,8.0,Fresh
Bayam,Leafy Vegetable,Chiller,3.0,2.0,Soon
Pisang,Tropical Fruit,Outside,3.0,0.0,Expired
Pakcoy,Leafy Vegetable,Outside,1.0,0.0,Expired
Seledri,Leafy Vegetable,Freezer,27.0,-6.0,Expired
Bawang Putih,Root Vegetable,Outside,20.0,25.0,Fresh
Pepaya,Tropical Fruit,Outside,3.0,1.0,Soon
Nanas,Tropical Fruit,Chiller,3.0,4.0,Fresh
Jeruk Nipis,Citric Fruit,Chiller,8.0,6.0,Fresh
Ubi Jalar,Root Vegetable,Outside,6.0,8.0,Fresh
Jeruk Bali,Citric Fruit,Chiller,15.0,15.0,Fresh
Kangkung,Leafy Vegetable,Chiller,3.0,1.0,Soon
Singkong,Root Vegetable,Chiller,3.0,4.0,Fresh
Kiwi,Temperate Fruit,Chiller,14.0,0.0,Expired
Kunyit,Root Vegetable,Chiller,19.0,11.0,Fresh
Pisang,Tropical Fruit,Freezer,60.0,19.0,Fresh
Kunyit,Root Vegetable,Freezer,15.0,37.0,Fresh
Cabai Merah,Root Vegetable,Outside,4.0,1.0,Soon
Jeruk,Citric Fruit,Freezer,15.0,37.0,Fresh
Nanas,Tropical Fruit,Freezer,8.0,22.0,Fresh
Paprika,Chili Pepper,Chiller,9.0,5.0,Fresh
Selada,Leafy Vegetable,Chiller,0.0,7.0,Fresh
Pear,Temperate Fruit,Freezer,60.0,-15.0,Expired
Bawang Putih,Root Vegetable,Chiller,60.0,-1.0,Expired
Bawang Merah,Root Vegetable,Freezer,60.0,17.0,Fresh
Kentang,Root Vegetable,Outside,1.0,13.0,Fresh
Apel,Temperate Fruit,Freezer,5.0,30.0,Fresh
Raspberry,Berry,Chiller,1.0,4.0,Fresh
Wortel,Root Vegetable,Freezer,47.0,37.0,Fresh
Selada,Leafy Vegetable,Outside,0.0,2.0,Soon
Singkong,Root Vegetable,Freezer,1.0,29.0,Fresh
Lemon,Citric Fruit,Freezer,60.0,-7.0,Expired
Anggur,Temperate Fruit,Chiller,9.0,-2.0,Expired
Apel,Temperate Fruit,Freezer,15.0,6.0,Fresh
Jeruk Nipis,Citric Fruit,Chiller,12.0,2.0,Soon
Bayam,Root Vegetable,Outside,0.0,1.0,Soon
Cabai Rawit,Chili Pepper,Chiller,7.0,3.0,Soon
Tomat,Tropical Fruit,Freezer,47.0,13.0,Fresh
Pepaya,Tropical Fruit,Chiller,7.0,0.0,Expired
Lemon,Citric Fruit,Outside,2.0,5.0,Fresh
Paprika,Root Vegetable,Outside,2.0,3.0,Soon
Nanas,Tropical Fruit,Outside,3.0,37.0,Soon
Pakcoy,Leafy Vegetable,Freezer,27.0,-6.0,Expired
Tomat,Tropical Fruit,Freezer,5.0,37.0,Fresh
Bawang Putih,Root Vegetable,Outside,14.0,31.0,Fresh
Jeruk Nipis,Citric Fruit,Outside,6.0,1.0,Soon
Brokoli,Leafy Vegetable,Chiller,5.0,5.0,Fresh
Brokoli,Leafy Vegetable,Chiller,7.0,3.0,Soon
Selada,Leafy Vegetable,Outside,1.0,1.0,Soon
Mangga,Tropical Fruit,Outside,1.0,4.0,Fresh
Jeruk Bali,Citric Fruit,Outside,13.0,1.0,Soon
Blueberry,Berry,Freezer,0.0,7.0,Fresh
Stroberi,Berry,Outside,1.0,1.0,Soon
Sawi,Leafy Vegetable,Freezer,6.0,24.0,Fresh
Apel,Temperate Fruit,Chiller,4.0,17.0,Fresh
Kentang,Root Vegetable,Outside,9.0,5.0,Fresh
Brokoli,Leafy Vegetable,Outside,0.0,2.0,Soon
Anggur,Temperate Fruit,Outside,1.0,2.0,Soon
Pepaya,Tropical Fruit,Chiller,0.0,7.0,Fresh
Cabai Merah,Chili Pepper,Chiller,9.0,5.0,Fresh
Tomat,Tropical Fruit,Freezer,29.0,31.0,Fresh
Selada,Leafy Vegetable,Freezer,20.0,10.0,Fresh
Mangga,Tropical Fruit,Freezer,18.0,12.0,Fresh
Pakcoy,Leafy Vegetable,Chiller,4.0,1.0,Soon
Lemon,Citric Fruit,Chiller,14.0,7.0,Fresh
Tomat,Tropical Fruit,Freezer,1.0,13.0,Fresh
Cabai Merah,Chili Pepper,Freezer,17.0,-3.0,Expired
Lemon,Citric Fruit,Chiller,11.0,10.0,Fresh
Cabai Rawit,Chili Pepper,Chiller,9.0,1.0,Soon
Tomat,Tropical Fruit,Freezer,56.0,4.0,Fresh
Nanas,Tropical Fruit,Chiller,9.0,-2.0,Expired
Jahe,Root Vegetable,Freezer,60.0,8.0,Fresh
Mangga,Tropical Fruit,Outside,2.0,3.0,Soon
Mangga,Tropical Fruit,Chiller,5.0,2.0,Soon
Anggur,Temperate Fruit,Freezer,3.0,27.0,Fresh
Ubi Jalar,Root Vegetable,Chiller,35.0,-5.0,Expired
Anggur,Temperate Fruit,Outside,0.0,3.0,Soon
Kangkung,Leafy Vegetable,Chiller,1.0,3.0,Soon
Raspberry,Berry,Chiller,5.0,0.0,Expired
Singkong,Root Vegetable,Outside,2.0,1.0,Soon
Raspberry,Berry,Outside,2.0,0.0,Expired
Pear,Root Vegetable,Outside,0.0,5.0,Fresh
Brokoli,Leafy Vegetable,Freezer,10.0,20.0,Fresh
Kol,Leafy Vegetable,Outside,3.0,0.0,Expired
Kiwi,Temperate Fruit,Outside,5.0,0.0,Expired
Raspberry,Berry,Outside,1.0,1.0,Soon
Seledri,Leafy Vegetable,Outside,0.0,2.0,Soon
Jeruk Nipis,Citric Fruit,Outside,1.0,-20.0,Fresh
Kiwi,Temperate Fruit,Outside,4.0,1.0,Soon
Pisang,Tropical Fruit,Freezer,3.0,27.0,Fresh
Jahe,Root Vegetable,Outside,10.0,4.0,Fresh
Kiwi,Temperate Fruit,Outside,2.0,3.0,Soon
Lemon,Citric Fruit,Freezer,41.0,19.0,Fresh
Sawi,Leafy Vegetable,Outside,1.0,0.0,Expired
Bawang Putih,Root Vegetable,Outside,11.0,34.0,Fresh
Jeruk,Citric Fruit,Freezer,44.0,16.0,Fresh
Bayam,Leafy Vegetable,Chiller,1.0,4.0,Fresh
Lemon,Citric Fruit,Freezer,58.0,2.0,Soon
Tomat,Tropical Fruit,Chiller,17.0,-3.0,Expired
Kiwi,Temperate Fruit,Chiller,8.0,6.0,Fresh
Ubi Jalar,Root Vegetable,Chiller,25.0,5.0,Fresh
Bawang Putih,Root Vegetable,Outside,6.0,37.0,Fresh
Lemon,Citric Fruit,Outside,,4.0,Fresh
Tomat,Tropical Fruit,Outside,1.0,4.0,Fresh
Seledri,Leafy Vegetable,Freezer,16.0,5.0,Fresh
Alpukat,Tropical Fruit,Freezer,3.0,27.0,Fresh
Nanas,Tropical Fruit,Freezer,0.0,30.0,Fresh
Bawang Putih,Root Vegetable,Freezer,60.0,37.0,Fresh
Mangga,Tropical Fruit,Freezer,8.0,22.0,Fresh
Lemon,Citric Fruit,Freezer,0.0,7.0,Fresh
Pisang,Tropical Fruit,Outside,0.0,3.0,Soon
Kentang,Root Vegetable,Chiller,2.0,28.0,Fresh
Kangkung,Leafy Vegetable,Freezer,2.0,28.0,Fresh
Anggur,Temperate Fruit,Freezer,23.0,7.0,Fresh
Bawang Merah,Root Vegetable,Freezer,60.0,37.0,Fresh
Jeruk,Citric Fruit,Freezer,,9.0,Fresh
Singkong,Root Vegetable,Freezer,9.0,21.0,Fresh
Raspberry,Berry,Freezer,22.0,-1.0,Expired
Stroberi,Berry,Outside,2.0,0.0,Expired
Apel,Temperate Fruit,Chiller,17.0,4.0,Fresh
Singkong,Root Vegetable,Outside,1.0,2.0,Soon
Singkong,Root Vegetable,Freezer,28.0,2.0,Soon
Stroberi,Berry,Chiller,2.0,3.0,Soon
Bawang Putih,Root Vegetable,Outside,45.0,0.0,Expired
Paprika,Chili Pepper,Outside,6.0,-1.0,Expired
Bayam,Leafy Vegetable,Outside,0.0,1.0,Soon
Stroberi,Berry,Freezer,0.0,37.0,Fresh
Singkong,Root Vegetable,Chiller,8.0,-1.0,Expired
Bawang Merah,Root Vegetable,Outside,19.0,11.0,Fresh
Ubi Jalar,Root Vegetable,Freezer,5.0,37.0,Fresh
Pear,Root Vegetable,Outside,6.0,-1.0,Expired
Blueberry,Berry,Outside,1.0,1.0,Soon
Pepaya,Tropical Fruit,Chiller,2.0,5.0,Fresh
Pear,Temperate Fruit,Chiller,3.0,11.0,Fresh
Semangka,Tropical Fruit,Outside,5.0,2.0,Soon
Seledri,Leafy Vegetable,Chiller,9.0,-2.0,Expired
Apel,Temperate Fruit,Freezer,60.0,4.0,Fresh
Pepaya,Tropical Fruit,Freezer,17.0,13.0,Fresh
Cabai Merah,Root Vegetable,Chiller,0.0,14.0,Fresh
Blueberry,Berry,Chiller,5.0,2.0,Soon
Kunyit,Root Vegetable,Freezer,41.0,37.0,Fresh
Pear,Temperate Fruit,Outside,0.0,5.0,Fresh
Ubi Jalar,Root Vegetable,Outside,10.0,4.0,Fresh
Pisang,Tropical Fruit,Freezer,8.0,22.0,Fresh
Kunyit,Root Vegetable,Chiller,21.0,9.0,Fresh
Alpukat,Tropical Fruit,Chiller,6.0,1.0,Soon
Apel,Temperate Fruit,Outside,1.0,-20.0,Fresh
Bawang Merah,Root Vegetable,Chiller,2.0,37.0,Fresh
Jahe,Root Vegetable,Outside,13.0,1.0,Soon
Bawang Putih,Root Vegetable,Outside,27.0,18.0,Fresh
Melon,Tropical Fruit,Chiller,3.0,4.0,Fresh
Bayam,Leafy Vegetable,Freezer,20.0,10.0,Fresh
Semangka,Tropical Fruit,Outside,7.0,0.0,Expired
Alpukat,Tropical Fruit,Outside,2.0,1.0,Soon
Selada,Leafy Vegetable,Freezer,5.0,25.0,Fresh
Blueberry,Berry,Outside,0.0,2.0,Soon
Raspberry,Berry,Freezer,19.0,37.0,Soon
Jeruk,Citric Fruit,Freezer,9.0,-2.0,Expired
Jeruk Bali,Citric Fruit,Freezer,15.0,37.0,Fresh
Pear,Temperate Fruit,Chiller,,8.0,Fresh
Lemon,Citric Fruit,Outside,3.0,4.0,Fresh
Kiwi,Temperate Fruit,Freezer,28.0,32.0,Fresh
Selada,Leafy Vegetable,Freezer,,15.0,Fresh
Wortel,Root Vegetable,Freezer,58.0,32.0,Fresh
Jeruk Bali,Citric Fruit,Freezer,15.0,15.0,Fresh
Jeruk Bali,Citric Fruit,Freezer,60.0,-5.0,Expired
Brokoli,Leafy Vegetable,Outside,1.0,1.0,Soon
Brokoli,Leafy Vegetable,Freezer,35.0,-5.0,Expired
Kentang,Root Vegetable,Chiller,20.0,10.0,Fresh
Kol,Leafy Vegetable,Freezer,30.0,0.0,Expired
Kunyit,Root Vegetable,Chiller,38.0,-8.0,Expired
Bawang Putih,Root Vegetable,Outside,15.0,30.0,Fresh
Bawang Merah,Root Vegetable,Outside,16.0,14.0,Fresh
Pisang,Root Vegetable,Freezer,22.0,8.0,Fresh
Jeruk,Citric Fruit,Outside,7.0,0.0,Expired
Alpukat,Tropical Fruit,Chiller,4.0,3.0,Soon
Sawi,Root Vegetable,Outside,0.0,1.0,Soon
Blueberry,Berry,Outside,2.0,0.0,Expired
Jeruk Bali,Citric Fruit,Chiller,14.0,16.0,Fresh
Bawang Merah,Root Vegetable,Outside,8.0,22.0,Fresh
Alpukat,Tropical Fruit,Chiller,1.0,6.0,Fresh
Ubi Jalar,Root Vegetable,Chiller,18.0,12.0,Fresh
Ubi Jalar,Root Vegetable,Outside,0.0,14.0,Fresh
Pepaya,Tropical Fruit,Outside,3.0,-20.0,Soon
Kiwi,Root Vegetable,Outside,5.0,-20.0,Expired
Paprika,Chili Pepper,Outside,1.0,4.0,Fresh
Bawang Putih,Root Vegetable,Chiller,60.0,15.0,Fresh
Seledri,Leafy Vegetable,Freezer,26.0,-5.0,Expired
Ubi Jalar,Root Vegetable,Freezer,27.0,37.0,Fresh
Cabai Rawit,Chili Pepper,Outside,2.0,37.0,Soon
Melon,Tropical Fruit,Outside,0.0,5.0,Fresh
Raspberry,Berry,Freezer,23.0,-2.0,Expired
Cabai Merah,Chili Pepper,Outside,1.0,4.0,Fresh
Lemon,Citric Fruit,Freezer,26.0,-5.0,Expired
Seledri,Leafy Vegetable,Freezer,14.0,7.0,Fresh
Singkong,Root Vegetable,Outside,0.0,3.0,Soon
Apel,Temperate Fruit,Freezer,27.0,37.0,Fresh
Tomat,Tropical Fruit,Outside,3.0,2.0,Soon
Jahe,Root Vegetable,Outside,2.0,12.0,Fresh
Wortel,Root Vegetable,Outside,5.0,0.0,Expired
Jeruk,Citric Fruit,Outside,9.0,-2.0,Expired
Lemon,Citric Fruit,Outside,4.0,3.0,Soon
Nanas,Tropical Fruit,Chiller,2.0,5.0,Fresh
Kentang,Root Vegetable,Outside,14.0,0.0,Expired
Kangkung,Leafy Vegetable,Outside,1.0,0.0,Expired
Cabai Rawit,Chili Pepper,Outside,3.0,1.0,Soon
Pakcoy,Leafy Vegetable,Outside,0.0,1.0,Soon
Jahe,Root Vegetable,Freezer,5.0,37.0,Fresh
Cabai Rawit,Root Vegetable,Chiller,7.0,3.0,Soon
Jahe,Root Vegetable,Chiller,28.0,2.0,Soon
Pisang,Tropical Fruit,Freezer,31.0,-1.0,Expired
Kentang,Root Vegetable,Outside,17.0,-3.0,Expired
Cabai Rawit,Chili Pepper,Outside,0.0,4.0,Fresh
Anggur,Temperate Fruit,Chiller,4.0,3.0,Soon
Stroberi,Berry,Chiller,5.0,0.0,Expired
Alpukat,Tropical Fruit,Chiller,,2.0,Soon
Cabai Merah,Chili Pepper,Chiller,11.0,3.0,Soon
Tomat,Tropical Fruit,Freezer,31.0,29.0,Fresh
Kentang,Root Vegetable,Outside,2.0,12.0,Fresh
Kunyit,Root Vegetable,Outside,0.0,14.0,Fresh
Brokoli,Leafy Vegetable,Chiller,4.0,6.0,Fresh
Raspberry,Berry,Freezer,4.0,17.0,Fresh
Bayam,Leafy Vegetable,Chiller,0.0,5.0,Fresh
Pear,Temperate Fruit,Freezer,57.0,3.0,Soon
Tomat,Tropical Fruit,Chiller,16.0,-2.0,Expired
Mangga,Tropical Fruit,Outside,0.0,5.0,Fresh
Wortel,Root Vegetable,Chiller,3.0,18.0,Fresh
Bawang Merah,Root Vegetable,Chiller,60.0,-18.0,Expired
Ubi Jalar,Root Vegetable,Freezer,47.0,37.0,Fresh
Jeruk Bali,Citric Fruit,Freezer,29.0,31.0,Fresh
Selada,Leafy Vegetable,Freezer,5.0,2.0,Soon
Pisang,Tropical Fruit,Outside,1.0,2.0,Soon
Anggur,Temperate Fruit,Freezer,22.0,8.0,Fresh
Stroberi,Berry,Freezer,9.0,21.0,Fresh
Kol,Leafy Vegetable,Chiller,17.0,-3.0,Expired
Pakcoy,Leafy Vegetable,Chiller,1.0,4.0,Fresh
Brokoli,Leafy Vegetable,Chiller,6.0,4.0,Fresh
Ubi Jalar,Root Vegetable,Chiller,36.0,-6.0,Expired
Pakcoy,Leafy Vegetable,Outside,60.0,0.0,Expired
Pisang,Tropical Fruit,Outside,2.0,1.0,Soon
Mangga,Tropical Fruit,Freezer,27.0,3.0,Soon
Apel,Root Vegetable,Freezer,60.0,-20.0,Expired
Lemon,Root Vegetable,Chiller,3.0,18.0,Fresh
Kentang,Root Vegetable,Chiller,0.0,30.0,Fresh
Apel,Temperate Fruit,Freezer,51.0,37.0,Fresh
Brokoli,Leafy Vegetable,Outside,2.0,0.0,Expired
Jeruk,Citric Fruit,Chiller,12.0,9.0,Fresh
Mangga,Root Vegetable,Freezer,5.0,25.0,Fresh
Kangkung,Leafy Vegetable,Outside,0.0,1.0,Soon
Lemon,Citric Fruit,Freezer,59.0,1.0,Soon
Kangkung,Leafy Vegetable,Freezer,24.0,6.0,Fresh
Semangka,Root Vegetable,Freezer,21.0,9.0,Fresh
Nanas,Tropical Fruit,Outside,1.0,2.0,Soon
Seledri,Leafy Vegetable,Chiller,1.0,6.0,Fresh
Bawang Putih,Root Vegetable,Freezer,54.0,37.0,Fresh
Jeruk Nipis,Root Vegetable,Chiller,9.0,5.0,Fresh
Blueberry,Berry,Chiller,7.0,0.0,Expired
Apel,Temperate Fruit,Outside,6.0,1.0,Soon
Jeruk Nipis,Citric Fruit,Chiller,10.0,4.0,Fresh
Selada,Leafy Vegetable,Chiller,5.0,2.0,Soon
Nanas,Tropical Fruit,Outside,5.0,0.0,Expired
Raspberry,Berry,Freezer,1.0,1.0,Soon
Selada,Leafy Vegetable,Freezer,8.0,22.0,Fresh
Jeruk Bali,Citric Fruit,Chiller,10.0,20.0,Fresh
Singkong,Root Vegetable,Chiller,0.0,7.0,Fresh
Cabai Merah,Chili Pepper,Freezer,55.0,5.0,Fresh
Jahe,Root Vegetable,Outside,7.0,7.0,Fresh
Pisang,Tropical Fruit,Outside,,2.0,Soon
Kunyit,Root Vegetable,Chiller,15.0,15.0,Fresh
Jeruk Nipis,Citric Fruit,Freezer,21.0,37.0,Fresh
Mangga,Tropical Fruit,Freezer,9.0,21.0,Fresh
Semangka,Root Vegetable,Freezer,31.0,-1.0,Expired
Blueberry,Berry,Chiller,6.0,1.0,Soon
Semangka,Tropical Fruit,Chiller,9.0,1.0,Soon
Pear,Temperate Fruit,Chiller,9.0,5.0,Fresh
Kentang,Root Vegetable,Chiller,10.0,20.0,Fresh
Kunyit,Root Vegetable,Freezer,60.0,-3.0,Expired
Ubi Jalar,Root Vegetable,Outside,3.0,11.0,Fresh
Pear,Temperate Fruit,Freezer,34.0,26.0,Fresh
Kol,Leafy Vegetable,Outside,0.0,3.0,Soon
Nanas,Tropical Fruit,Outside,4.0,1.0,Soon
Wortel,Root Vegetable,Freezer,60.0,-11.0,Expired
Anggur,Root Vegetable,Chiller,6.0,1.0,Soon
Seledri,Leafy Vegetable,Freezer,25.0,-4.0,Expired
Alpukat,Tropical Fruit,Outside,1.0,2.0,Soon
Pepaya,Tropical Fruit,Outside,2.0,2.0,Soon
Jeruk Bali,Citric Fruit,Chiller,37.0,-7.0,Expired
Stroberi,Berry,Freezer,25.0,5.0,Fresh
Pepaya,Tropical Fruit,Freezer,2.0,5.0,Fresh
Jeruk Nipis,Citric Fruit,Chiller,6.0,8.0,Fresh
Jeruk,Citric Fruit,Chiller,25.0,-4.0,Expired
Melon,Tropical Fruit,Freezer,11.0,19.0,Fresh
Melon,Tropical Fruit,Freezer,,22.0,Fresh
Bayam,Leafy Vegetable,Chiller,2.0,3.0,Soon
Raspberry,Berry,Freezer,9.0,12.0,Fresh
Jeruk Bali,Citric Fruit,Freezer,5.0,37.0,Fresh
Tomat,Tropical Fruit,Chiller,18.0,-4.0,Expired
Blueberry,Berry,Freezer,19.0,11.0,Fresh
Jeruk Bali,Citric Fruit,Chiller,21.0,9.0,Fresh
Jeruk,Citric Fruit,Outside,5.0,2.0,Soon
Pepaya,Tropical Fruit,Chiller,5.0,2.0,Soon
Alpukat,Tropical Fruit,Chiller,,7.0,Fresh
Pakcoy,Root Vegetable,Outside,0.0,1.0,Soon
Bawang Putih,Root Vegetable,Freezer,18.0,37.0,Fresh
Cabai Rawit,Chili Pepper,Freezer,52.0,8.0,Fresh
Pepaya,Tropical Fruit,Freezer,3.0,1.0,Soon
