food_name,food_category,packaging_type,storage_location,is_opened,days_to_expire,days_since_opened,sisa_hari,label
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,0,5,0,5.0,warning
Biskuit Marie,Produk Kering,Plastik,Outside,0,31,0,31.0,Fresh
Nugget Udang,Produk Protein,Plastik,,Tidak,101,0,101.0,Fresh
Sarden Cabai,Produk Kaleng,Kaleng,Outside,0,423 hari,0,423.0,ok
Biskuit Crackers,Kering,Plastik,room temp,0,138,0 days,138.0,Fresh
Susu UHT Stroberi,Produk Olahan Susu,Karton,Chiller,True,85,4,-3.0,Expired
Sosis Frankfurter,Produk Protein,Plastik,Chiller,0,42,0,42.0,Fresh
Sarden Cabai,Produk Kaleng,Kaleng,Outside,1,398,7,-5.0,Expired
Biskuit Mentega,Dry Food,Kaleng,Outside,,35,0,35.0,Fresh
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Outside,1,9999,24,6.0,Soon
  Biskuit Wafer  ,Prod. Kering,Plastik,Outside,1,36,7,-2.0,Expired
Teh Lemon,Produk Minuman,Karton,Outside,0,144,0,144.0,Fresh
Susu UHT Coklat,dairy,Karton,Chiller,0,,0,155.0,Fresh
Keju Mozzarella,Produk Olahan Susu,plastik,Chiller,1,11,3,4.0,
Yogurt Mangga,Produk Olahan Susu,plastic,fridge,0,,0,28.0,Fresh
	Biskuit Mentega,Produk Kering,Kaleng,Outside,1,-5,10,4.0,Soon
Nugget Ayam,Produk Protein,Plastik,Freezer,1,95,1,2.0,Soon
Soda Jeruk,Produk Minuman,Kaleng,Outside,0,26,0,26.0,OK
Sereal Cornflakes,Produk Kering,Karton,Outside,0,340,0,340.0,Fresh
Nugget Ayam,,Plastik,Freezer,1,159,4,-1.0,Expired
Sarden Minyak Zaitun,Produk Kaleng,kaleng ,Outside,0,341,0,341.0,Fresh
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Refrigerator,1,713,5,9.0,Fresh
	Sosis Frozen,protein,Plastik,Freezer,0,135,,135.0,
Biskuit Wafer,Produk Kering,Plastik,,0,162,0,162.0,OK
Biskuit Crackers,Produk Kering,Plastik,Outside,0,28,0,28.0,Fresh
Biskuit Oreo,Produk Kering,Plastik,Outside,0,17,0,17.0,Fresh
	Teh Kotak Hijau,Minuman,Karton,Room Temp,1,220,2,-1.0,Expired
 Sereal Coklat,Produk Kering,Karton,Room Temp,1,119,23,-2.0,Expired
Buah Cocktail,Produk Kaleng,Kaleng,Luar,0,197,0,197.0,Fresh
Yogurt Stroberi,Produk Olahan Susu,Plastik,Chiller,1,30,6,-3.0,Expired
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,0,-5,0,40.0,Fresh
Nugget Ikan,,,Freezer,0,177,0,177.0,Fresh
Nugget Tempe,Produk Protein,Plastik,Freezer,0,85,0,85.0,Fresh
Nugget Udang,,Plastic,Freezer,False,150,0,150.0,fresh
Sosis Frozen,,Plastik,Freezer,1,73,5,-2.0,Expired
Sereal Coklat,Produk Kering,Karton,Outside,yes,52,26,-5.0,Expired
Biskuit Sandwich,produk kering,Plastik,Luar,0,38,0,38.0,fresh
Biskuit Crackers,Produk Kering,Polimer,Outside,0,128,0,128.0,Fresh
Cola Original,Produk Minuman,Kaleng,Outside,0,159,0,,Fresh
Leci dalam Sirup,Produk Kaleng,Kaleng,Outside,1,564,7,-4.0,kadaluarsa
Nugget Sapi,Produk Protein,Plastik,Freezer,0,172,0,172.0,Fresh
Kornet Ayam,Canned,Kaleng,Outside,Yes,36,8,-5.0,Expired
Sereal Oat,Kering,Karton,Outside,0,24,0,24.0,Fresh
Yogurt Plain,Produk Olahan Susu,PLASTIK,Chiller,1,23,6,-1.0,Expired
Yogurt Stroberi,Produk Olahan Susu,Plastik,Chiller,1,16,7,-4.0,Expired
Keju Mozzarella,Produk Olahan Susu,Plastik,Chiller,0,23,0,23.0,segar
Susu UHT Full Cream,Produk Olahan Susu,Karton,Chiller,1,139,11,-4.0,Expired
Jus Sirsak,beverage,Karton,Chiller,0,22 hari,0,22.0,Fresh
Mie Instan Ayam,Produk Kering,Plastik,Outside,1,143,1,-1.0,Expired
Mie Instan Ayam,Produk Kering,Plastik,Outside,1,67,,-5.0,Expired
Sosis Ikan,Produk Protein,,Chiller,1,34,7,-4.0,Expired
Sereal Muesli,Produk Kering,Karton,room temp,0,277,0,277.0,Fresh
Susu Kental Manis Coklat,Dairy,Kaleng,Chiller,0,191,0,191.0,Fresh
Sosis Sapi,Produk Protein,Plastik,Chiller,0,11,0,11.0,Fresh
Jus Nanas,Produk Minuman,Karton,Chiller,0,179,0,179.0,
Biskuit Mentega,Produk Kering,Kaleng,Outside,0,267,0,267.0,Fresh
NUGGET UDANG,Produk Protein,Plastik,Freezer,1,135,6,-3.0,Expired
Keju Cream Cheese,Produk Olahan Susu,Karton,Chiller,1,29,3,11.0,OK
Susu UHT Coklat,Dairy,Karton,Chiller,0,140,0,140.0,Fresh
 Air Mineral,Produk Minuman,Plastik,Outside,0,118,0,-999.0,Fresh
Susu UHT Stroberi,Produk Olahan Susu,Karton,Refrigerator,1,216,3,-2.0,Expired
	Teh Tarik,Minuman,Karton,Chiller,0,186,0,186.0,Fresh
Mie Instan Ayam,Produk Kering,PLASTIK,Outside,1,353,,-4.0,Expired
Susu Kedelai,Produk Olahan Susu,Karton,Chiller,1,20,1,4.0,Soon
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,0,179,0,179.0,Fresh
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,0,102,0,102.0,Fresh
Sarden Tomat,Produk Kaleng,Kaleng,,0,670,0,670.0,Fresh
Sarden Minyak Zaitun,Produk Kaleng,Can,suhu ruangan,1,818 hari,1,1.0,Soon
  Susu UHT Coklat  ,Produk Olahan Susu,KARTON,Chiller,1,177,6,-5.0,Expired
Mie Instan Soto,Produk Kering,Plastik,OUTSIDE,1,307,3,-3.0,Expired
