nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label
Mangga,Buah,Pembeku,0.0,33.7,Matang
Timun,Sayur,Suhu Ruang,2.0,1.3,Busuk
Tomat,Sayur,Pendingin,0.0,2.5,Busuk
Jeruk,,Suhu Ruang,0.0,6.5,Matang
Apel,Buah,Suhu Ruang,4.0,16.2,Mentah
Tomat,Sayur,Suhu Ruang,1.0,0.1,Busuk
Mangga,Buah,Pendingin,0.0,3.8,Terlalu Matang
Anggur,Buah,Pembeku,2.0,37.7,Mentah
Cabe,Sayur,Pembeku,1.0,7.2,Busuk
Mangga,Buah,Pembeku,3.0,14.0,Terlalu Matang
Pisang,Buah,Suhu Ruang,0.0,0.3,Busuk
Kentang,Sayur,Pendingin,1.0,2.7,Busuk
Kentang,Sayur,Pendingin,2.0,3.0,Busuk
Wortel,Sayur,Pendingin,2.0,30.6,Segar
Jeruk,Buah,Suhu Ruang,1.0,0.0,Busuk
Apel,,Pembeku,1.0,0.4,Busuk
Wortel,Sayur,Suhu Ruang,0.0,2.3,Busuk
Timun,Sayur,Suhu Ruang,4.0,12.0,Segar
Mangga,Buah,Pendingin,2.0,15.6,Matang
Apel,Buah,Suhu Ruang,0.0,3.5,Terlalu Matang
Jeruk,Buah,Pendingin,1.0,10.2,Terlalu Matang
Pisang,Buah,Pembeku,0.0,2.9,Busuk
Pisang,Buah,Pembeku,1.0,1.7,Busuk
Wortel,Sayur,Pendingin,9999.0,2726.6,N/A
Jeruk,Buah,Suhu Ruang,5.0,10.7,Tidak Diketahui
Anggur,Buah,Suhu Ruang,4.0,8.4,Mentah
Jeruk,Buah,Suhu Ruang,1.0,14.9,Mentah
Wortel,Sayur,Pembeku,2.0,8.4,Busuk
Jeruk,Buah,Pembeku,1.0,14.0,Terlalu Matang
Cabe,Sayur,Suhu Ruang,6.0,11.0,Segar
Wortel,Sayur,Pendingin,1.0,1.8,Busuk
Jeruk,Buah,Pembeku,4.0,31.3,Matang
Tomat,Sayur,Pendingin,6.0,11.2,Segar
Tomat,Sayur,Pendingin,0.0,1.8,Busuk
Wortel,Sayur,Pembeku,0.0,4.5,Busuk
Kentang,Sayur,,,40.1,
,,Pendingin,2.0,38.1,
,,Suhu Ruang,,3.7,Terlalu Matang
Jeruk,Buah,Pembeku,2.0,13.8,Terlalu Matang
Apel,Buah,Pendingin,0.0,0.3,Busuk
Jeruk,Buah,Pembeku,0.0,17.4,Terlalu Matang
Tomat,Sayur,Pendingin,8389.0,6168.4,Busuk
Cabe,Sayur,Pembeku,2.0,7.4,Busuk
Pisang,Buah,Pendingin,0.0,16.7,Mentah
Kentang,Sayur,Suhu Ruang,3.0,8.7,Segar
Kentang,Sayur,,9999.0,1184.0,Expired
Cabe,Sayur,Suhu Ruang,2.0,5.2,Segar
Apel,Buah,Suhu Ruang,1.0,16.2,Mentah
Timun,Sayur,Pendingin,4.0,9.8,Segar
Cabe,Sayur,Suhu Ruang,0.0,11.6,Segar
Anggur,Buah,Pendingin,0.0,1.1,Busuk
Apel,Buah,Suhu Ruang,0.0,11.5,Matang
Wortel,Sayur,Suhu Ruang,1.0,1.1,Busuk
Jeruk,Buah,Pendingin,4.0,19.3,Matang
Tomat,Sayur,Pembeku,0.0,4.4,Busuk
Mangga,,Pendingin,2.0,6.9,
Timun,Sayur,Suhu Ruang,1.0,1.6,Busuk
Timun,Sayur,Pendingin,2.0,2.7,Busuk
Cabe,Sayur,Pembeku,1.0,0.1,Busuk
Jeruk,Buah,Pembeku,1.0,29.3,Matang
,,,,1.1,Busuk
Timun,Sayur,Pembeku,2.0,34.0,Segar
Apel,Buah,Suhu Ruang,2.0,11.5,Mentah
Apel,Buah,Pembeku,3.0,15.2,Terlalu Matang
Jeruk,Buah,Pendingin,0.0,1.7,Busuk
Wortel,Sayur,Suhu Ruang,0.0,19.1,Segar
Timun,Sayur,Suhu Ruang,5.0,9.8,Segar
Wortel,Sayur,Pembeku,4.0,38.6,Segar
Timun,Sayur,Pembeku,0.0,0.6,Busuk
Timun,Sayur,Suhu Ruang,1.0,1.2,Busuk
Jeruk,Buah,Pendingin,0.0,2.1,Busuk
Apel,Buah,Suhu Ruang,1.0,0.6,Busuk
Jeruk,Buah,Pembeku,1.0,16.0,Terlalu Matang
Cabe,Sayur,Pembeku,6.0,24.3,Segar
Anggur,Buah,Suhu Ruang,0.0,2.9,Terlalu Matang
Cabe,Sayur,Suhu Ruang,1.0,13.3,Segar
,Buah,,1.0,18.3,
Tomat,Sayur,Suhu Ruang,6.0,4.1,Segar
Anggur,Buah,Suhu Ruang,2.0,3.9,Terlalu Matang
,Buah,Pendingin,9999.0,1646.9,null
Anggur,Buah,Pembeku,3.0,14.6,Terlalu Matang
Apel,Buah,Pendingin,5.0,17.2,Mentah
Tomat,Sayur,Suhu Ruang,2.0,1.3,Busuk
  ,Sayur,Pendingin,1.0,1.7,Busuk
Wortel,Sayur,Pembeku,2.0,0.9,Busuk
Anggur,Buah,Suhu Ruang,-5.0,4718.7,Terlalu Matang
Anggur,Buah,Suhu Ruang,3.0,3.0,Terlalu Matang
Anggur,Buah,Suhu Ruang,1.0,0.5,Busuk
Jeruk,Buah,Suhu Ruang,-193.0,-504.2,Terlalu Matang
Jeruk,Buah,Pendingin,1.0,1.3,Busuk
Tomat,Sayur,Pendingin,2.0,15.5,Segar
Anggur,Buah,Suhu Ruang,1.0,0.7,Busuk
Apel,Buah,Pembeku,3.0,12.5,Terlalu Matang
Jeruk,Buah,Pembeku,0.0,3.1,Busuk
Apel,Buah,Pendingin,5.0,20.2,Mentah
Kentang,Sayur,Suhu Ruang,1.0,8.2,Segar
Wortel,Sayur,Pendingin,1.0,0.2,Busuk
Wortel,Sayur,Pendingin,1.0,4.4,Busuk
Timun,Sayur,Pendingin,0.0,2.0,Busuk
Cabe,Sayur,Pendingin,4.0,22.7,Segar
Wortel,Sayur,Pendingin,7367.0,1371.2,Busuk
Kentang,Sayur,Suhu Ruang,3468.0,8914.1,Segar
Anggur,Buah,Pendingin,2.0,10.2,Matang
Anggur,Buah,Pendingin,1.0,14.4,Matang
Kentang,Sayur,Suhu Ruang,1.0,1.9,Busuk
Kentang,Sayur,Pembeku,2.0,2.8,Busuk
Wortel,Sayur,Pembeku,2.0,35.3,Segar
Wortel,Sayur,Suhu Ruang,-99.0,2456.1,null
Timun,,Suhu Ruang,500.0,2650.8,null
Timun,Sayur,Suhu Ruang,1.0,7.6,Segar
Tomat,Sayur,Suhu Ruang,0.0,1.5,Busuk
Anggur,Buah,Suhu Ruang,0.0,0.3,Busuk
Timun,Sayur,Pendingin,5.0,12.8,Segar
Timun,Sayur,Pembeku,1000.0,2850.9,Busuk
Timun,Sayur,Pembeku,0.0,1924.5,Expired
Mangga,Buah,?,4.0,5.2,Matang
Mangga,Buah,Pendingin,3.0,5.6,Terlalu Matang
Kentang,Sayur,Pendingin,0.0,0.1,Busuk
Cabe,Sayur,Pembeku,1.0,30.0,Segar
Pisang,Buah,Pendingin,2.0,14.8,Matang
Timun,Sayur,Pembeku,6.0,26.7,Segar
Apel,Buah,Suhu Ruang,3.0,3.0,Terlalu Matang
Apel,Buah,Pembeku,3.0,36.8,Matang
Apel,Buah,Pendingin,4.0,20.2,Matang
Mangga,Buah,Pendingin,3.0,18.0,Matang
Apel,Buah,Suhu Ruang,3.0,6.7,Matang
Anggur,Buah,Pembeku,0.0,1.8,Busuk
Mangga,Buah,Pembeku,1.0,25.5,Matang
Tomat,Sayur,Suhu Ruang,5.0,5.6,Segar
Pisang,Buah,Pembeku,1.0,2.1,Busuk
Tomat,Sayur,Suhu Ruang,6.0,10.7,Segar
Mangga,Buah,Pendingin,1.0,0.1,Busuk
Anggur,Buah,Suhu Ruang,0.0,0.8,Busuk
Tomat,Sayur,Pembeku,1.0,0.1,Busuk
Apel,Buah,Pembeku,3.0,13.1,Terlalu Matang
Wortel,Sayur,Suhu Ruang,0.0,1576.1,Busuk
Pisang,Buah,Pendingin,3.0,12.6,Matang
Apel,Buah,Pendingin,0.0,1.9,Busuk
Tomat,Sayur,Suhu Ruang,0.0,6.4,Segar
Timun,Sayur,Pembeku,2.0,3.0,Busuk
Kentang,Sayur,Suhu Ruang,0.0,1.1,Busuk
Timun,Sayur,Pembeku,-5.0,3714.7,Segar
Cabe,Sayur,Suhu Ruang,3.0,7.5,Segar
Pisang,Buah,Pendingin,-311.0,-193.0,Matang
Pisang,Buah,Pembeku,1.0,29.7,Mentah
Kentang,Sayur,Pendingin,-726.0,-204.9,Busuk
Tomat,Sayur,Pembeku,1.0,3.5,Busuk
Jeruk,Buah,Pembeku,1.0,0.6,Busuk
Jeruk,Buah,Pembeku,0.0,3.8,Busuk
Anggur,Buah,Pendingin,3.0,15.4,Matang
Apel,Buah,Suhu Ruang,5.0,8.3,Matang
Tomat,Sayur,Pendingin,1.0,1.8,Busuk
Jeruk,Buah,Pendingin,0.0,10.2,Terlalu Matang
