item_name,item_type,storage_location,days_since_purchase,sisa_hari,label
Jahe,Root Vegetable,Freezer,14,76.0,Fresh
jahe,Root Vegetable,freezer,102 hari,-12.0,Expired
Seledri,,Outside,9999,2.0,Soon
  Pisang  ,Tropical Fruit,Freezer,23,7.0,Fresh
Cabai Merah,Chili Pepper,,1,4.0,Fresh
Tomat,Tropical Fruit,Chiller,4,10.0,Fresh
Bawang Putih,,Chiller,25,65.0,Fresh
Sawi,Leafy Vegetable,Chiller,2,3.0,Soon
Stroberi,Berry,Freezer,10,20.0,Fresh
Melon,Tropical Fruit,,5,0.0,Expired
Semangka,Tropical Fruit,Chiller,13,-3.0,Expired
 Blueberry,Berry,Chiller,9,-2.0,Expired
Jahe,Root Vegetable,Outside,9999,10.0,Fresh
Singkong,Root Vegetable,Chiller,6,1.0,Soon
Pisang,Tropical Fruit,Chiller,6,-1.0,Expired
Cabai Merah,Chili Pepper,refrigerator,6,8.0,Fresh
Bayam,Leafy Vegetable,Chiller,3,2.0,Soon
Pisang,Tropical Fruit,Outside,3,0.0,Expired
Pakcoy,Leafy Vegetable,Outside,1,0.0,Expired
Seledri,Leafy Vegetable,Freezer,27,-6.0,Expired
bawang putih,,Outside,20,25.0,Fresh
Pepaya,Tropical Fruit,Outside,3,1.0,Soon
Nanas,Buah Tropis,refrigerator,3,4.0,Fresh
Jeruk Nipis,Citric Fruit,Chiller,8,6.0,Fresh
Ubi Jalar,Root Vegetable,Outside,6,8.0,Fresh
Jeruk Bali,Citric Fruit,fridge,15,15.0,Fresh
Kangkung,Leafy Vegetable,Chiller,3,1.0,Soon
Singkong,Root Vegetable,Chiller,3,4.0,Fresh
 Kiwi,Temperate Fruit,Chiller,14,0.0,Expired
Seledri,,Freezer,25,-4.0,
Kunyit,Root Vegetable,Chiller,19,11.0,Fresh
	Pisang,Tropical Fruit,Freezer,9999,19.0,Fresh
Kunyit,,Freezer,15,75.0,Fresh
Cabai Merah,,Outside,4,1.0,Soon
Jeruk,Citric Fruit,Freezer,15,45.0,OK
Nanas,Tropical Fruit,Freezer,8,22.0,Fresh
Paprika,Chili Pepper,Chiller,9,5.0,Fresh
Selada,Leafy Vegetable,Chiller,0,7.0,Fresh
Pear,Temperate Fruit,Freezer,75,-15.0,Expired
Bawang Putih,Root Vegetable,Chiller,91,-1.0,Expired
Bawang Merah,Akar-akaran,Freezer,163,17.0,Fresh
Kentang,Root Vegetable,room temp,1,13.0,Fresh
Apel,Temperate Fruit,Freezer,-5,30.0,Fresh
Raspberry,Berry,Chiller,1,4.0,Fresh
Wortel,Root Vegetable,Freezer,47,43.0,Fresh
Selada,Leafy Vegetable,Outside,0,2.0,Soon
Singkong,Root Vegetable,Freezer,1,29.0,fresh
Lemon,Citric Fruit,,67,-7.0,Expired
Anggur,Temperate Fruit,Chiller,9,-2.0,Expired
Apel,Temperate Fruit,,15,6.0,Fresh
Pakcoy,Leafy Vegetable,Outside,1,0.0,Expired
Jeruk Nipis,Citric Fruit,Chiller,12,2.0,Soon
Bayam,,Outside,0,1.0,SOON
Cabai Rawit,Chili Pepper,Chiller,7,3.0,warning
Tomat,Tropical Fruit,Freezer,47,13.0,Fresh
Pepaya,Tropical Fruit,fridge,7,0.0,Expired
Lemon,CITRIC,Outside,2,5.0,Fresh
Paprika,,Outside,2,3.0,Soon
Nanas,Tropical Fruit,Outside,3,9999.0,Soon
Pakcoy,Leafy Vegetable,freezer,27,-6.0,Expired
Tomat,Tropical Fruit,Freezer,5,55.0,Fresh
Bawang Putih,Root Vegetable,Outside,14,31.0,FRESH
Tomat,Tropical Fruit,Chiller,4,10.0,segar
Jeruk Nipis,Citric Fruit,Outside,6,1.0,Soon
Brokoli,Leafy Vegetable,Chiller,5,5.0,Fresh
Brokoli,Leafy Vegetable,chiller,7,3.0,Soon
Selada,Leafy Vegetable,Outside,1,1.0,Soon
Mangga,Tropical Fruit,Outside,1,4.0,Fresh
Jeruk Bali,citrus fruit,Outside,13,1.0,Soon
Blueberry,Berry,,0,7.0,Fresh
Stroberi,Berries,Outside,1 hari,1.0,Soon
Sawi,Leafy Vegetable,Freezer,6,24.0,Fresh
Apel,Temperate Fruit,Chiller,4,17.0,Fresh
Kentang,Root Vegetable,Outside,9,5.0,FRESH
Brokoli,Leafy Vegetable,Outside,0,2.0,Soon
Anggur,Temperate Fruit,Outside,1,2.0,Soon
Pepaya,Tropical Fruit,refrigerator,0 hari,7.0,Segar
Cabai Merah,Chili Pepper,Outside,4,,warning
Cabai Merah,Chili Pepper,Kulkas,9,5.0,Fresh
